Date,City,State,Country,Shape,Duration,Summary,Posted,Images,ReportNum,Location,Latitude,Longitude
7/31/2022 21:59,West Lafayette,OH,USA,Light,4 minutes,Bright circle light moving through sky.,9/9/2022,Yes,1,"West Lafayette, OH",40.2753487,-81.7509601
7/31/2022 21:45,Burr Ridge,IL,USA,Other,,"Strange red, blue and black craft in the sky and green light below it just above the tree line",9/9/2022,Yes,2,"Burr Ridge, IL",41.7489203,-87.9183919
7/31/2022 21:15,Conway,SC,USA,Circle,Less than a minute,Round bright white light go in a straight line like I’m in Conway Hills heading like going Columbia South Carolina Way,9/9/2022,,3,"Conway, SC",33.8360034,-79.0478143
7/31/2022 21:11,Keyser,WV,USA,Light,2 minutes,Saw an orb that interacted with me.,9/9/2022,,4,"Keyser, WV",39.4409277,-78.9739156
7/31/2022 20:43,gressham,OR,USA,Unknown,less than a minute,A single soft red light that pulsed three times then disappeared,9/9/2022,,5,"gressham, OR",45.5044715,-122.4356657
7/31/2022 20:30,Eddyville,KY,USA,Changing,1minute or more,"3 craft were flying. 2 disappeared 1 hovered, made 90 degree turn, then became an oval balloon looking craft, then disappeared",9/9/2022,Yes,6,"Eddyville, KY",37.0944971,-88.080301
7/31/2022 20:20,Carpinteria,CA,USA,Diamond,60 seconds,I saw this disk above my head I just can't think of what it could be,9/9/2022,,7,"Carpinteria, CA",34.3988838,-119.5184564
7/31/2022 17:00,Tacoma,WA,USA,Light,25 min,Multiple bright lights,9/9/2022,Yes,8,"Tacoma, WA",47.2528768,-122.4442906
7/31/2022 9:57,Charlotte,NC,USA,Circle,1 minute,Bright white light that moved fairly quickly then turned red and dim until no longer visible NOT ISS,9/9/2022,,9,"Charlotte, NC",35.2270869,-80.8431267
7/31/2022 6:30,Burnet,TX,USA,Circle,5 minutes,Took 3 photos . It changed shape progressively,9/9/2022,Yes,10,"Burnet, TX",30.7582376,-98.2283585
7/31/2022 2:30,Seattle,WA,USA,Formation,1 minute,Viewed 3 lights in a line and another single light fly in formation over Puget sound from South to north,9/9/2022,,11,"Seattle, WA",47.6062095,-122.3320708
7/31/2022 2:00,Naples,FL,USA,Rectangle,At least 30 min,Bright white light looks square,9/9/2022,Yes,12,"Naples, FL",26.1420358,-81.7948103
7/31/2022 1:00,Tacoma,WA,USA,Light,3 yrs,"Lights in forest and coming into my room, during day it looks a silhouette of transparent heat waves,",9/9/2022,,13,"Tacoma, WA",47.2528768,-122.4442906
7/30/2022 23:45,Flemington,NJ,USA,Diamond,over 1 hour,Hovering object in the southeast sky about 30 degrees above the horizon,10/8/2022,Yes,14,"Flemington, NJ",40.5123258,-74.8593318
7/30/2022 23:05,Fremont,CA,USA,Disk,3 seconds,Fastest UFO flying very close,9/9/2022,,15,"Fremont, CA",37.5485396,-121.988583
7/30/2022 23:01,Bella Vista,AR,USA,Cigar,2:00 Minutes,A disk that had lights on it hovered over the lake and disappeared in a blink of an eye.,9/9/2022,,16,"Bella Vista, AR",36.475798,-94.2475489
7/30/2022 22:35,Dorchester,MA,USA,Rectangle,2 hours,Looked up & saw a large pulsing ball of light. Took video & enlarged it 2x’s & noticed it’s actually a rectangle of light,9/9/2022,Yes,17,"Dorchester, MA",42.2994848,-71.0648529
7/30/2022 21:25,Dalton Gardens,ID,USA,Light,1 minute,Satellite type of light moving horizontally west to east disappearing,9/9/2022,,18,"Dalton Gardens, ID",47.7296276,-116.7701906
7/30/2022 21:12,Philadelphia,PA,USA,Sphere,5 minutes,Flying orb or sphere that changes colors and physical form.,9/9/2022,,19,"Philadelphia, PA",39.9525839,-75.1652215
7/30/2022 21:00,Harrisburg,PA,USA,Unknown,N/a,It's orbs all on me,12/22/2022,,20,"Harrisburg, PA",40.2731911,-76.8867008
7/30/2022 20:45,Wexford,PA,USA,Cigar,1/2 hour,"I think it was the chinese ship, it was tumbling and clearly visible with my scope. I have video and stills.",9/9/2022,Yes,21,"Wexford, PA",40.6266318,-80.0549768
7/30/2022 19:28,Newark,NJ,USA,Sphere,10 minutes,25-30 white orbs coming from behind a cloud over Newark and slowly vanishing,9/9/2022,Yes,22,"Newark, NJ",40.735657,-74.1723667
7/30/2022 17:00,Hicksville,NY,USA,Other,At least 1hr,Black orb,9/9/2022,Yes,23,"Hicksville, NY",40.7580684,-73.5240738
7/30/2022 9:20,River Forest,IL,USA,Sphere,About 10 minutes,Saw two silver spherical shapes in the sky which moved slowly eastward. They could by balloons but I thought I would file a report anyw,9/9/2022,,25,"River Forest, IL",41.8939617,-87.8198478
7/30/2022 2:20,Eudora,KS,USA,Light,5 seconds,I saw a star move then take off,9/9/2022,,26,"Eudora, KS",38.9433372,-95.0985807
7/30/2022 1:47,North Dartmouth,MA,USA,Circle,10 seconds,Woke up to see a very bright light emitting showers of sparks moving South to North,12/22/2022,,27,"North Dartmouth, MA",41.640396,-70.9694555
7/30/2022 1:30,Randolph,VT,USA,Light,Roughly a half hour,My husband and I saw a distinct large light hovering in the sky rotating for roughly a half hour.,9/9/2022,,28,"Randolph, VT",43.9247446,-72.6656948
7/30/2022 0:30,Maupin,OR,USA,Oval,30 minutes,Unknown Object hovering beyond canyon,9/9/2022,,29,"Maupin, OR",45.1751205,-121.0814491
7/30/2022 0:20,Grand Junction,CO,USA,Disk,30 minutes,Some multiple crafts from back porch,9/9/2022,,30,"Grand Junction, CO",39.0638705,-108.5506486
7/30/2022 0:00,Penn Run,PA,USA,Light,Approximately 10 minutes,The craft REACTED to me in a way that made it apparent it was observing me as it mimicked my motions and those of my lighter.,9/9/2022,,31,"Penn Run, PA",40.6184614,-79.0107507
7/29/2022 23:00,Florence,KY,USA,Light,Over an hour,"Balls of light mistaken for distant stars but they would come closer and farther drift together and apart. Crescent light, 10 ufo minim",9/9/2022,,32,"Florence, KY",38.9989499,-84.6266111
7/29/2022 22:45,Mendota,CA,USA,Light,3 MINUTES,"3 large, linear, bright white lights approx 600' - 1000' feet in width.",9/9/2022,,33,"Mendota, CA",36.7535611,-120.3815574
7/29/2022 22:45,Mendota,CA,USA,Triangle,2 mins,3 linear lights approx. 600' across 100'-300' off the ground,9/9/2022,,34,"Mendota, CA",36.7535611,-120.3815574
7/29/2022 22:00,Apple Valley,CA,USA,Light,about 4 minutes,Bursts of light in night sky which enfolded into themselves.,9/9/2022,,36,"Apple Valley, CA",34.5008311,-117.1858759
7/29/2022 21:45,Auburn,NY,USA,Circle,4 minutes,"There's a lot of activity in the skies lately. We didn't hear anything, but as you can see, it looked like a bright object that moved f",9/9/2022,,37,"Auburn, NY",42.9317335,-76.5660529
7/29/2022 21:11,Acushnet,MA,USA,Light,3 minutes,"8-10 circular lights ,below heavy cloud cover,moving in a circle meeting another that stayed in the middle !",9/9/2022,,38,"Acushnet, MA",41.7223696,-70.8952337
7/29/2022 21:04,Middleboro,MA,USA,Circle,15 minutes,Several lights in a ping pong pattern in the sky. Eventually all came together in the middle and then disappeared,9/9/2022,,39,"Middleboro, MA",41.8929942,-70.9107708
7/29/2022 19:35,Bath,NC,USA,Other,Ten minutes,"Black vertical pole, grey conical pole and a “y” shape coming down out of a dense cloud covering, over the river in front of our house",9/9/2022,Yes,40,"Bath, NC",35.4771094,-76.8116045
7/29/2022 17:38,lakewood,CO,USA,Egg,1,"Tornado warning east denver just heard on the radio. Storm 27,000 ft. atop a billowing cloud a dark object hugging.",9/9/2022,,41,"lakewood, CO",39.7047095,-105.0813734
7/29/2022 11:42,Warner Springs,CA,USA,Fireball,1 sec,I was outside recording a bobcat,9/9/2022,,42,"Warner Springs, CA",33.2769753,-116.6494394
7/29/2022 8:00,Virginia Beach,VA,USA,Circle,3-4 Weeks,Object appears overnight with no identifying characteristics of known origins.,10/8/2022,Yes,43,"Virginia Beach, VA",36.8516437,-75.9792194
7/29/2022 5:00,"GRASS LAKE,",MI,USA,Disk,About 45 Minutes,Hovered close to the same spot for almost 45 minutes until the sun came up. Kept looking out my window to see if it was an airplane!,9/9/2022,,44,"GRASS LAKE,, MI",42.2513133,-84.2131888
7/29/2022 4:50,Mobile,AL,USA,Light,45 min,Shape shifting white star like orb appears and splits into 2 orbs.,9/9/2022,Yes,45,"Mobile, AL",30.6953657,-88.0398912
7/29/2022 4:30,JACKSONVILLE,FL,USA,Changing,45” that I watched,I was taking an early morning walk when I noticed it,9/9/2022,,46,"JACKSONVILLE, FL",30.3321838,-81.655651
7/29/2022 3:51,Wheatland,WY,USA,Circle,2 minutes,Took exit to stretch legs looked up and saw movement got cell phone and took video.,9/9/2022,,47,"Wheatland, WY",42.0544141,-104.9527501
7/29/2022 3:26,Livonia,MI,USA,Circle,10 to 15 seconds,Saw a large bright light heading up and to the south.,9/9/2022,,48,"Livonia, MI",42.36837,-83.3527097
7/29/2022 2:00,Buffalo,KY,USA,Changing,"7/29, 7/26, 7/15 2am-5am",I have phone video.,9/9/2022,,49,"Buffalo, KY",37.5120048,-85.6985727
7/29/2022 1:55,Woonsocket,RI,USA,Disk,Unaware of duration,Around 1:50 am about 20 minutes after falling asleep I remember waking up but suffering paralysis and experiencing contact with ship,9/9/2022,Yes,50,"Woonsocket, RI",42.0028761,-71.5147839
7/29/2022 0:03,Dewey Beach,DE,USA,Sphere,30 seconds,"Two light green orbs moving close to eachother , high up, once far away they disappeared and a super bright light filled our eyes quick",9/9/2022,,51,"Dewey Beach, DE",38.6928899,-75.0746249
7/28/2022 22:30,Traverse city,MI,USA,Light,10 to 15 seconds,Blue and white fire ball appearing to come out of a moving star,9/9/2022,,52,"Traverse city, MI",44.7630567,-85.6206317
7/28/2022 22:30,Chicago,IL,USA,Light,About 3-5 minutes,Witnessed a bright light in the sky before it seemed to go straight up and disappeared,9/9/2022,,53,"Chicago, IL",41.8781136,-87.6297982
7/28/2022 22:00,Kansas City,RI,USA,Light,2 minutes or less,"The top of a triangle of stars appeared to be moving, while staring at it the lower right star took off upwards and right.",9/9/2022,,54,"Kansas City, RI",41.5800945,-71.4774291
7/28/2022 21:00,Madison,WI,USA,Unknown,9:00 PM- 12:30 AM,"Was outside for approx 3.5 hrs and saw an object flashing red/green and later white moving slow,fast,up/down,left to right and visversa",9/9/2022,Yes,55,"Madison, WI",43.0721661,-89.4007501
7/28/2022 20:27,Barnesville,PA,USA,Circle,3 minutes or so,Slow and Low white orb,9/9/2022,,56,"Barnesville, PA",40.814788,-76.0309565
7/28/2022 18:38,Austin,TX,USA,Disk,50 seconds,Saw a hollow looking disk hovering about a quarter mile away and about 200 feet off the ground.,9/9/2022,,57,"Austin, TX",30.267153,-97.7430608
7/28/2022 12:39,Mt. Rainier National Park,WA,USA,Disk,A few seconds,The pilot announced Mt. Rainier on the left.I was seated by the left window.I immediately took my phone and captured 3 photos.,9/9/2022,Yes,58,"Mt. Rainier National Park, WA",46.8799663,-121.7269094
7/28/2022 10:20,Farmington,MN,USA,Light,20 seconds,Helicopter was following 4 dim red lights from west to east,9/9/2022,,59,"Farmington, MN",44.6402434,-93.1435497
7/28/2022 4:04,Upland,CA,USA,Circle,23 seconds,Caught on Backyard camera,9/9/2022,,60,"Upland, CA",34.09751,-117.6483876
7/28/2022 2:00,McAllen TX enroute Ohio,TX,USA,Formation,2 hours,Witnessed balls of light flying unlike any man made aircraft. Lights moved ahead of us towards the northeast for approximately 2 hours,9/9/2022,,61,"McAllen TX enroute Ohio, TX",26.2034071,-98.2300124
7/28/2022 2:00,Corpus Christi,TX,USA,Changing,Two hours,Several crafts that look like stars and moving erratically. Appeared to be chasing each other,9/9/2022,,62,"Corpus Christi, TX",27.8005828,-97.396381
7/28/2022 1:10,Villas,NJ,USA,Circle,30 seconds,Seen 2 ‘orbs’ that looked strange. I have videos.,9/9/2022,,63,"Villas, NJ",39.017252,-74.941631
7/28/2022 0:26,Woodland/kalama,WA,USA,Sphere,10-12 min,Super bright orb/ disc hovered in place 10-12 mins,9/9/2022,Yes,64,"Woodland/kalama, WA",45.9045591,-122.7439912
7/27/2022 23:30,Boulder,CO,USA,Oval,2 to 5 seconds,I had been watching the thunderstorms from my window when I noticed a large oval shaped orange light hovering and quickly shooting off.,9/9/2022,,65,"Boulder, CO",40.0149856,-105.2705456
7/27/2022 22:45,Butler,PA,USA,Changing,2 mins,White light would drop down and move forward and disappear and repeat as it was bigger object moving forward till lost sight over trees,9/9/2022,,66,"Butler, PA",40.8611755,-79.8953328
7/27/2022 22:32,Naperville,IL,USA,Light,20 seconds,"Bright light sped up, dimmed, turned red, then disappeared",9/9/2022,,67,"Naperville, IL",41.7508391,-88.1535352
7/27/2022 22:30,Tolar,TX,USA,Circle,3 Seconds,Round Green Circle followed by reddish orange short tail falling from space?,9/9/2022,,68,"Tolar, TX",32.3890274,-97.92059
7/27/2022 22:20,Conway,AR,USA,Star,Shortly past sun rise,A bright small object that moves freely in the sky that seems to be attempting communication with Me,12/22/2022,,69,"Conway, AR",35.0917506,-92.4366522
7/27/2022 22:00,Seattle,WA,USA,Light,Less than 5 min,Unusual light disappears into sky,9/9/2022,,70,"Seattle, WA",47.6062095,-122.3320708
7/27/2022 21:30,Detroit,MI,USA,,,I didn’t know what the object was. No news reports of this object,9/9/2022,,71,"Detroit, MI",42.331427,-83.0457538
7/27/2022 21:00,Bunker Hill,KS,USA,Light,Current/ last 15 min,Driving west on hwy70 and have had a bright white rectangle hovering in same spot in sky for extended time. Clearly not a celestial bod,9/9/2022,Yes,72,"Bunker Hill, KS",38.8758445,-98.7039655
7/27/2022 21:00,Tacoma,WA,USA,Light,Several hours,Several craft that were blinking blue white red light,9/9/2022,,73,"Tacoma, WA",47.2528768,-122.4442906
7/27/2022 19:30,Somerset,KY,USA,Disk,,I am on flight on JetBlue plane and noticed this flying opposite direction at a high speed,9/9/2022,,74,"Somerset, KY",37.0920222,-84.6041084
7/27/2022 11:20,Maple Grove,MN,USA,Cigar,2 min,"Large shiny, almost white object shaped like a cigar… slowly moving in the sky, then completely stops in mid air & disappeare instantly",9/9/2022,,75,"Maple Grove, MN",45.0724642,-93.4557877
7/27/2022 10:00,Trumbull,CT,USA,Sphere,30 minutes,Orb was stationary for 20 minutes then drifted for 10 minutes,9/9/2022,,76,"Trumbull, CT",41.2428563,-73.2006639
7/27/2022 5:42,Decatur,GA,USA,Changing,Bout a minute.,Came outside to smoke a cigar and saw a bright fire ball travelling south at a constant speed and then slowing down and then dim!,9/9/2022,,77,"Decatur, GA",33.7748275,-84.2963123
7/27/2022 0:00,"Hudson, NY",NY,USA,Triangle,About 3 minutes,Saw a large triangular black silhouette moving very slowly (maybe 5 mph) approx 500-800ft in air completely silent one solid red light.,9/9/2022,,78,"Hudson, NY, NY",42.2528649,-73.790959
7/26/2022 22:50,Greenwood,DE,USA,Other,1 minute,HUGE unkn aircraft passed/glided directly overtop our vehicle. Moved slow /made NO sound until right overtop - unkn engine noise,9/9/2022,Yes,79,"Greenwood, DE",38.8070578,-75.5913153
7/26/2022 22:47,Seneca Falls,NY,USA,Unknown,A little over a minute,"I saw a very bright, white light moving through the sky and before I knew it, it was gone.",9/9/2022,,80,"Seneca Falls, NY",42.9106219,-76.7966215
7/26/2022 21:43,Shelby Township,MI,USA,Oval,30 seconds,"Bright Sphere , and then turned to cigar shape and then went updward",9/9/2022,,81,"Shelby Township, MI",42.6695739,-83.0338608
7/26/2022 21:38,LaPorte,IN,USA,Oval,3 hours,"It was approximately 18 in away, 4 inches off the ground, gold and purple dense but translucent, barely a whirring sound",9/9/2022,,82,"LaPorte, IN",41.611143,-86.7227195
7/26/2022 21:31,Chagrin Falls,OH,USA,Oval,2-3 minutes,"Large oval shape object with black dot in the middle, varying in intensity with two additional orbs rotating around the main one.",9/9/2022,,83,"Chagrin Falls, OH",41.4298516,-81.3910999
7/26/2022 20:30,Contoocook,NH,USA,Cigar,,Saw a black cigar craft suspended in the sky that disappeared and reappeared within 5 minutes only to dissapear for good.,9/9/2022,,84,"Contoocook, NH",43.2220234,-71.7139655
7/26/2022 20:15,Davenport,WA,USA,Sphere,8 minutes,Bright sphere shaped object that appeared to be sitting stationary above the hills on the horizon for approximately 8 minutes.,9/9/2022,,85,"Davenport, WA",47.6540456,-118.149973
7/26/2022 4:06,Staten Island NY,NY,USA,Cigar,10 seconds,I was filming the stars sky watching as I always do and this object flew by at a steady pace not super fast it was totally silent,9/9/2022,,86,"Staten Island NY, NY",40.5795317,-74.1502007
7/26/2022 1:57,Eustace,TX,USA,Unknown,Ongoing since atleast 130,A bright light. NOT ISS,9/9/2022,,87,"Eustace, TX",32.3070902,-96.0066353
7/26/2022 1:27,Mulino,OR,USA,Circle,2-4 minutes,An object flashed goldish white 4 times and a flash behind it.,9/9/2022,,88,"Mulino, OR",45.2212415,-122.5816606
7/25/2022 23:00,Bonaire,GA,USA,Light,1 minute,Saw two lights,9/9/2022,,89,"Bonaire, GA",32.5437575,-83.5960161
7/25/2022 22:00,Sandusky,OH,USA,Cigar,20 minutes,Observed the first craft on my way back to my room and then observed two more craft before running outside to call parents and record.,9/9/2022,,90,"Sandusky, OH",41.4561754,-82.7116821
7/25/2022 19:17,Stockton,CA,USA,Oval,30 seconds,"White object moving north to south across the sky, no sound, no condensation trail.",9/9/2022,,91,"Stockton, CA",37.9577016,-121.2907796
7/25/2022 4:00,Ashland,WI,USA,Star,Still Ongoing,Observing as I report with a spotting scope and binoculars,9/9/2022,,92,"Ashland, WI",46.5924428,-90.8837982
7/24/2022 23:45,Intercourse,PA,USA,Light,1 minute,Small silent red dot doing maneuvers over Amish farm,9/9/2022,,93,"Intercourse, PA",40.0383787,-76.1075043
7/24/2022 23:00,Dingmans Ferry,PA,USA,Circle,40min then fell asleep,"Round light high in sky, darting around irregularly like insect, blinking irregularly",9/9/2022,,94,"Dingmans Ferry, PA",41.2200946,-74.8712799
7/24/2022 22:42,Mequon,WI,USA,Light,instant,"While star gazing, I saw an extremely bright flash, no sound near the handle of the dipper in the north west sky",9/9/2022,,95,"Mequon, WI",43.2159232,-88.0314174
7/24/2022 22:41,Sealy,TX,USA,Oval,10 seconds,"Blue light shines thru my window , I look outside and I see blue ball going north then shift left and was gone in less then 10 seconds",9/9/2022,,96,"Sealy, TX",29.7807878,-96.1571833
7/24/2022 22:00,Boise,ID,USA,Formation,All night,Polar express ( quick nickname between friends),9/9/2022,,97,"Boise, ID",43.6150186,-116.2023137
7/24/2022 21:59,Platteville,WI,USA,,Videos for 2 weeks,In last 2 weeks 17. Got all the videos and rnn tried. Doesnt show. I was abducted when I was 19. Got super great videos of it all. Ask,9/9/2022,,98,"Platteville, WI",42.73416,-90.4784621
7/24/2022 21:54,Spruce Pine,NC,USA,Sphere,9pm to 11pm,"Spheres that change color, move across the sky and sometimes disappear.",9/9/2022,,99,"Spruce Pine, NC",35.9154007,-82.0645611
7/24/2022 21:53,Orland Park,IL,USA,Circle,More than 4 minutes,I saw 4 circular orbs that were orange and they were very small,9/9/2022,Yes,100,"Orland Park, IL",41.6303103,-87.8539425
7/24/2022 21:46,Bremerton,WA,USA,Oval,15 seconds,Sighted Black Barrel/Oval going North to South in sky,9/9/2022,,101,"Bremerton, WA",47.5650067,-122.6269768
7/24/2022 21:30,Tama,IA,USA,Light,One and a half hours,"Bright, light in night sky, moving minutely and then erratically for 1.5 hours, 10-in circumferenz, returning to zenith w 5 mini-lights",9/9/2022,,102,"Tama, IA",41.9627392,-92.576753
7/24/2022 20:13,Salisbury,MD,USA,Cigar,,Stepped out to smoke saw craft caught my eye then noticed over 20 of them.,9/9/2022,Yes,103,"Salisbury, MD",38.3606736,-75.5993692
7/24/2022 16:10,Houston,TX,USA,Oval,1min,Bright silver oval/disc in south sky,9/9/2022,,104,"Houston, TX",29.7604267,-95.3698028
7/24/2022 14:47,Raleigh,NC,USA,Sphere,2-3 min,"Small dark sphere-shaped car-sized craft traveling just below the clouds at a consistent pace with sound, no tail, no lights.",9/9/2022,,105,"Raleigh, NC",35.7795897,-78.6381787
7/24/2022 1:40,Wimberly,TX,USA,Sphere,2 minutes 55 seconds,Orb of light dancing in the night sky.,9/9/2022,,106,"Wimberly, TX",29.9974362,-98.0986204
7/23/2022 23:17,Abilene,TX,USA,Formation,1 minute,Cluster of lights with one seperated,9/9/2022,Yes,107,"Abilene, TX",32.4487364,-99.7331439
7/23/2022 23:15,Derby,VT,USA,Triangle,3-5 minutes,This thing was maybe a few hundred feet above me and making absolutely no noise what so ever.,9/9/2022,,108,"Derby, VT",44.9544448,-72.1303638
7/23/2022 23:03,folsom,LA,USA,Delta,2-4 minutes,"Saw an object disappear and instantly reappear further away multiple times, got closer and saw that it was a delta with 3 lights.",9/9/2022,,109,"folsom, LA",30.6301889,-90.1873048
7/23/2022 22:35,Cleveland,TN,USA,Triangle,Lasted 3 seconds,Seen a triangular craft with 4 lights,9/9/2022,,110,"Cleveland, TN",35.1595182,-84.8766115
7/23/2022 22:34,Austin,TX,USA,Disk,1-3 minutes,UFO hovering shutting off lights and slowly drifting behind clouds,9/9/2022,,111,"Austin, TX",30.267153,-97.7430608
7/23/2022 22:30,Medicine bow,WY,USA,Cylinder,1-4 minutes,.5-2 miles above ground,9/9/2022,,112,"Medicine bow, WY",41.8955212,-106.2047385
